ID,Topic_EN,Topic_ES,Topic_DE,Topic_FR,Topic_ZH,Description_EN,Description_ES,Description_DE,Description_FR,Description_ZH,Level,Estimated_Hours,Resources
506,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,35,"edX, Blogs, Tutorials"
507,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,6,"Kaggle, GitHub, Research Papers"
508,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,30,"Coursera, YouTube, Books"
509,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,27,"Coursera, YouTube, Books"
510,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Beginner,12,"edX, Blogs, Tutorials"
511,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,34,"edX, Blogs, Tutorials"
512,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Beginner,25,"edX, Blogs, Tutorials"
513,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,22,"Coursera, YouTube, Books"
514,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Beginner,25,"Kaggle, GitHub, Research Papers"
515,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,9,"Kaggle, GitHub, Research Papers"
516,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Advanced,47,"Coursera, YouTube, Books"
517,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,38,"edX, Blogs, Tutorials"
518,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,37,"Coursera, YouTube, Books"
519,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,24,"Kaggle, GitHub, Research Papers"
520,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Beginner,33,"Kaggle, GitHub, Research Papers"
521,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Advanced,13,"Coursera, YouTube, Books"
522,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Intermediate,39,"Kaggle, GitHub, Research Papers"
523,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Advanced,40,"edX, Blogs, Tutorials"
524,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,12,"edX, Blogs, Tutorials"
525,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,23,"edX, Blogs, Tutorials"
526,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Advanced,40,"Coursera, YouTube, Books"
527,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Beginner,15,"Coursera, YouTube, Books"
528,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,22,"Kaggle, GitHub, Research Papers"
529,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,35,"Kaggle, GitHub, Research Papers"
530,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Advanced,49,"Coursera, YouTube, Books"
531,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,42,"edX, Blogs, Tutorials"
532,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Intermediate,17,"Kaggle, GitHub, Research Papers"
533,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,11,"Kaggle, GitHub, Research Papers"
534,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Advanced,22,"Kaggle, GitHub, Research Papers"
535,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Advanced,20,"Kaggle, GitHub, Research Papers"
536,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,41,"Coursera, YouTube, Books"
537,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,5,"Coursera, YouTube, Books"
538,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Advanced,10,"Kaggle, GitHub, Research Papers"
539,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Beginner,42,"edX, Blogs, Tutorials"
540,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,16,"edX, Blogs, Tutorials"
541,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,16,"Coursera, YouTube, Books"
542,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,20,"Kaggle, GitHub, Research Papers"
543,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,5,"Kaggle, GitHub, Research Papers"
544,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,20,"Coursera, YouTube, Books"
545,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Beginner,44,"Coursera, YouTube, Books"
546,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,16,"Kaggle, GitHub, Research Papers"
547,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Advanced,37,"Kaggle, GitHub, Research Papers"
548,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,25,"Kaggle, GitHub, Research Papers"
549,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,37,"Kaggle, GitHub, Research Papers"
550,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,25,"Coursera, YouTube, Books"
551,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,7,"Kaggle, GitHub, Research Papers"
552,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Advanced,42,"Coursera, YouTube, Books"
553,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,37,"Coursera, YouTube, Books"
554,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Advanced,35,"Kaggle, GitHub, Research Papers"
555,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Advanced,21,"Coursera, YouTube, Books"
556,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,10,"Coursera, YouTube, Books"
557,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,38,"edX, Blogs, Tutorials"
558,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Advanced,25,"Kaggle, GitHub, Research Papers"
559,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,36,"edX, Blogs, Tutorials"
560,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,30,"Kaggle, GitHub, Research Papers"
561,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Advanced,8,"Kaggle, GitHub, Research Papers"
562,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Beginner,27,"edX, Blogs, Tutorials"
563,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,9,"Coursera, YouTube, Books"
564,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Advanced,18,"Coursera, YouTube, Books"
565,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,22,"Coursera, YouTube, Books"
566,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Advanced,12,"edX, Blogs, Tutorials"
567,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,42,"Kaggle, GitHub, Research Papers"
568,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Beginner,18,"edX, Blogs, Tutorials"
569,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,19,"Kaggle, GitHub, Research Papers"
570,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,37,"edX, Blogs, Tutorials"
571,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,39,"Kaggle, GitHub, Research Papers"
572,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,6,"edX, Blogs, Tutorials"
573,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,39,"Kaggle, GitHub, Research Papers"
574,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,16,"Coursera, YouTube, Books"
575,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,17,"Coursera, YouTube, Books"
576,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,40,"Coursera, YouTube, Books"
577,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Advanced,36,"Coursera, YouTube, Books"
578,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,13,"edX, Blogs, Tutorials"
579,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Beginner,15,"Kaggle, GitHub, Research Papers"
580,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,15,"Coursera, YouTube, Books"
581,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Beginner,35,"Coursera, YouTube, Books"
582,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Intermediate,30,"Coursera, YouTube, Books"
583,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,47,"Coursera, YouTube, Books"
584,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Beginner,21,"Coursera, YouTube, Books"
585,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,39,"Kaggle, GitHub, Research Papers"
586,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Advanced,44,"Coursera, YouTube, Books"
587,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,19,"Kaggle, GitHub, Research Papers"
588,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,46,"Kaggle, GitHub, Research Papers"
589,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,22,"Coursera, YouTube, Books"
590,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Intermediate,42,"edX, Blogs, Tutorials"
591,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,26,"Coursera, YouTube, Books"
592,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Intermediate,26,"Kaggle, GitHub, Research Papers"
593,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Intermediate,27,"edX, Blogs, Tutorials"
594,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,8,"Coursera, YouTube, Books"
595,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,18,"Coursera, YouTube, Books"
596,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Beginner,6,"Kaggle, GitHub, Research Papers"
597,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Advanced,44,"Kaggle, GitHub, Research Papers"
598,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,48,"Kaggle, GitHub, Research Papers"
599,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,45,"Kaggle, GitHub, Research Papers"
600,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,8,"Coursera, YouTube, Books"
601,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Intermediate,41,"Coursera, YouTube, Books"
